sentiment,business_category,merge_group,review_count_all,review_count_confident,share_confident,avg_score,example_sub_issues
positif,Pengalaman Menonton,USER_EXPERIENCE,1991,1980,0.9945,4.85,"Kemudahan akses menonton film dan siaran langsung, Kepuasan terhadap akses konten hiburan, Pengguna baru mencoba aplikasi"
positif,Pengalaman Menonton,CONTENT_ISSUE,1337,1309,0.9791,4.63,Keluhan iklan dan konten episode tidak lengkap
positif,Pengalaman Menonton,ADVERTISEMENT_ISSUE,744,743,0.9987,4.61,"Keluhan mengenai frekuensi iklan yang terlalu banyak, Keluhan mengenai banyaknya iklan pada aplikasi"
positif,Langganan dan Pembayaran,SUBSCRIPTION_ERROR,628,621,0.9889,4.62,Kendala aktivasi paket langganan yang sudah dibeli
positif,Kepuasan Pengguna,POSITIVE_FEEDBACK,544,518,0.9522,4.91,"Ulasan positif umum mengenai kualitas aplikasi, Pujian terhadap platform sebagai layanan terpercaya, Ulasan positif ekspresif terhadap layanan"
positif,Konten dan Siaran,CONTENT_ISSUE,434,421,0.97,4.71,Kendala akses siaran langsung atau channel TV
positif,Layanan Pelanggan,CUSTOMER_SERVICE,288,282,0.9792,4.88,Apresiasi terhadap layanan dan respon aplikasi
positif,Lain-lain / Noise,OVERALL_SATISFACTION,236,0,0.0,4.89,Ulasan umum/noise
positif,Pengalaman Pengguna,USER_EXPERIENCE,121,121,1.0,4.89,"Kemudahan dalam penggunaan antarmuka aplikasi, Kepuasan menonton konten live dan berkualitas"
positif,Lain-lain,UNCATEGORIZED,95,95,1.0,4.82,"Ulasan tidak jelas atau spam, Ulasan tidak relevan atau spam"
positif,Konten Aplikasi,CONTENT_GENERAL,62,61,0.9839,4.94,Penyebutan kategori konten olahraga dan film
positif,Kepuasan Pengguna,RATING_FEEDBACK,36,34,0.9444,4.72,Pemberian rating bintang lima oleh pengguna
positif,Konten Aplikasi,CONTENT_REQUEST,34,34,1.0,4.59,Permintaan penambahan koleksi film dan series
