sentiment,business_category,merge_group,review_count_all,review_count_confident,share_confident,avg_score,example_sub_issues
netral,Stabilitas Sistem,SYSTEM_ERROR,38,38,1.0,3.0,Aplikasi sering mengalami error
netral,Manajemen Pembaruan,UPDATE_ISSUE,30,30,1.0,3.0,Frekuensi pembaruan aplikasi terlalu sering
netral,Transaksi dan Pembayaran,TRANSACTION_ERROR,27,27,1.0,3.0,Kendala saat melakukan transaksi atau pendaftaran
netral,Layanan Pengiriman,DELIVERY_ISSUE,23,23,1.0,3.0,"Pembatalan pesanan sepihak dan keterlambatan pengiriman, Durasi pengiriman barang yang terlalu lama"
netral,Promosi dan Biaya,PROMO_ISSUE,21,21,1.0,3.0,Keluhan mengenai syarat minimal belanja gratis ongkir
netral,Harga dan Produk,PRICE_DISCREPANCY,19,19,1.0,3.0,Perbedaan harga antara aplikasi dan toko fisik
netral,Akses Akun,LOGIN_ERROR,18,18,1.0,3.0,Kesulitan saat proses login atau masuk akun
netral,Pengalaman Pengguna,UI_UX_ISSUE,17,17,1.0,3.0,Tampilan baru aplikasi dianggap lebih rumit
netral,Pengalaman Pengguna,USER_EXPERIENCE,14,14,1.0,3.0,Ulasan positif mengenai kemudahan belanja online
netral,Integrasi Sistem,INTEGRATION_ISSUE,11,11,1.0,3.0,Integrasi antar aplikasi dan sinkronisasi data produk
netral,Fitur Pembayaran,PAYMENT_FEATURE,10,10,1.0,3.0,Permintaan penambahan metode pembayaran dan fitur pembatalan
netral,Lain-lain / Noise,OVERALL_SATISFACTION,2,0,0.0,3.0,Ulasan umum/noise
positif,Kepuasan Pengguna,GENERAL_SATISFACTION,7581,7226,0.9532,4.97,"Ulasan positif umum mengenai aplikasi, Ulasan positif singkat dan apresiatif, Aplikasi dirasakan sangat membantu pengguna"
positif,Pengalaman Pengguna,USER_EXPERIENCE,6984,6942,0.994,4.98,"Kemudahan berbelanja online dari rumah, Solusi belanja praktis tanpa keluar rumah, Efisiensi belanja yang mudah, cepat, dan hemat"
positif,Promosi dan Penawaran,PROMOTION_FEEDBACK,2313,2296,0.9927,4.98,Kemudahan belanja dengan banyak promo menarik
positif,Operasional dan Teknis,TECHNICAL_ISSUE,1537,1515,0.9857,4.61,"Keluhan stok kosong, bug, dan performa aplikasi"
positif,Layanan Pengiriman,DELIVERY_SERVICE,1309,1302,0.9947,4.97,"Pengiriman cepat dengan kurir yang ramah, Pengiriman cepat dan tepat waktu"
positif,Ulasan Umum,GENERAL_FEEDBACK,1054,1026,0.9734,4.95,"Harapan positif untuk perkembangan aplikasi, Apresiasi atas bantuan aplikasi, Ulasan positif singkat"
positif,Layanan Pelanggan,CUSTOMER_SERVICE,573,573,1.0,4.97,Pelayanan yang cepat dan responsif
positif,Kepuasan Pengguna,POSITIVE_FEEDBACK,531,517,0.9736,4.93,"Ulasan positif mengenai kualitas aplikasi, Pengalaman penggunaan aplikasi yang memuaskan, Sentimen positif terhadap layanan aplikasi"
positif,Promosi dan Diskon,PROMOTION_OFFER,521,520,0.9981,4.98,Tersedia banyak promo menarik
positif,Harga dan Nilai,PRICING_VALUE,170,170,1.0,4.96,Harga aplikasi lebih murah dibanding toko fisik
positif,Lain-lain / Noise,OVERALL_SATISFACTION,80,0,0.0,4.97,Ulasan umum/noise
positif,Kemudahan Penggunaan,USER_EXPERIENCE,79,79,1.0,4.96,Aplikasi memudahkan proses belanja online
positif,Promosi dan Harga,PRICING_SATISFACTION,25,25,1.0,5.0,Kepuasan terhadap harga produk yang terjangkau
